instant,season,yr,mnth
1,1,0,1
2,1,0,1
3,1,0,1
4,1,0,1
5,1,0,1
6,1,0,1
7,1,0,1
8,1,0,1
9,1,0,1
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,1
14,1,0,1
15,1,0,1
16,1,0,1
17,1,0,1
18,1,0,1
19,1,0,1
20,1,0,1
21,1,0,1
22,1,0,1
23,1,0,1
24,1,0,1
25,1,0,1
26,1,0,1
27,1,0,1
28,1,0,1
29,1,0,1
30,1,0,1
31,1,0,1
32,1,0,2
33,1,0,2
34,1,0,2
35,1,0,2
36,1,0,2
37,1,0,2
38,1,0,2
39,1,0,2
40,1,0,2
41,1,0,2
42,1,0,2
43,1,0,2
44,1,0,2
45,1,0,2
46,1,0,2
47,1,0,2
48,1,0,2
49,1,0,2
50,1,0,2
51,1,0,2
52,1,0,2
53,1,0,2
54,1,0,2
55,1,0,2
56,1,0,2
57,1,0,2
58,1,0,2
59,1,0,2
60,1,0,3
61,1,0,3
62,1,0,3
63,1,0,3
64,1,0,3
65,1,0,3
66,1,0,3
67,1,0,3
68,1,0,3
69,1,0,3
70,1,0,3
71,1,0,3
72,1,0,3
73,1,0,3
74,1,0,3
75,1,0,3
76,1,0,3
77,1,0,3
78,1,0,3
79,1,0,3
80,2,0,3
81,2,0,3
82,2,0,3
83,2,0,3
84,2,0,3
85,2,0,3
86,2,0,3
87,2,0,3
88,2,0,3
89,2,0,3
90,2,0,3
91,2,0,4
92,2,0,4
93,2,0,4
94,2,0,4
95,2,0,4
96,2,0,4
97,2,0,4
98,2,0,4
99,2,0,4
100,2,0,4
101,2,0,4
102,2,0,4
103,2,0,4
104,2,0,4
105,2,0,4
106,2,0,4
107,2,0,4
108,2,0,4
109,2,0,4
110,2,0,4
111,2,0,4
112,2,0,4
113,2,0,4
114,2,0,4
115,2,0,4
116,2,0,4
117,2,0,4
118,2,0,4
119,2,0,4
120,2,0,4
121,2,0,5
122,2,0,5
123,2,0,5
124,2,0,5
125,2,0,5
126,2,0,5
127,2,0,5
128,2,0,5
129,2,0,5
130,2,0,5
131,2,0,5
132,2,0,5
133,2,0,5
134,2,0,5
135,2,0,5
136,2,0,5
137,2,0,5
138,2,0,5
139,2,0,5
140,2,0,5
141,2,0,5
142,2,0,5
143,2,0,5
144,2,0,5
145,2,0,5
146,2,0,5
147,2,0,5
148,2,0,5
149,2,0,5
150,2,0,5
151,2,0,5
152,2,0,6
153,2,0,6
154,2,0,6
155,2,0,6
156,2,0,6
157,2,0,6
158,2,0,6
159,2,0,6
160,2,0,6
161,2,0,6
162,2,0,6
163,2,0,6
164,2,0,6
165,2,0,6
166,2,0,6
167,2,0,6
168,2,0,6
169,2,0,6
170,2,0,6
171,2,0,6
172,3,0,6
173,3,0,6
174,3,0,6
175,3,0,6
176,3,0,6
177,3,0,6
178,3,0,6
179,3,0,6
180,3,0,6
181,3,0,6
182,3,0,7
183,3,0,7
184,3,0,7
185,3,0,7
186,3,0,7
187,3,0,7
188,3,0,7
189,3,0,7
190,3,0,7
191,3,0,7
192,3,0,7
193,3,0,7
194,3,0,7
195,3,0,7
196,3,0,7
197,3,0,7
198,3,0,7
199,3,0,7
200,3,0,7
201,3,0,7
202,3,0,7
203,3,0,7
204,3,0,7
205,3,0,7
206,3,0,7
207,3,0,7
208,3,0,7
209,3,0,7
210,3,0,7
211,3,0,7
212,3,0,7
213,3,0,8
214,3,0,8
215,3,0,8
216,3,0,8
217,3,0,8
218,3,0,8
219,3,0,8
220,3,0,8
221,3,0,8
222,3,0,8
223,3,0,8
224,3,0,8
225,3,0,8
226,3,0,8
227,3,0,8
228,3,0,8
229,3,0,8
230,3,0,8
231,3,0,8
232,3,0,8
233,3,0,8
234,3,0,8
235,3,0,8
236,3,0,8
237,3,0,8
238,3,0,8
239,3,0,8
240,3,0,8
241,3,0,8
242,3,0,8
243,3,0,8
244,3,0,9
245,3,0,9
246,3,0,9
247,3,0,9
248,3,0,9
249,3,0,9
250,3,0,9
251,3,0,9
252,3,0,9
253,3,0,9
254,3,0,9
255,3,0,9
256,3,0,9
257,3,0,9
258,3,0,9
259,3,0,9
260,3,0,9
261,3,0,9
262,3,0,9
263,3,0,9
264,3,0,9
265,3,0,9
266,4,0,9
267,4,0,9
268,4,0,9
269,4,0,9
270,4,0,9
271,4,0,9
272,4,0,9
273,4,0,9
274,4,0,10
275,4,0,10
276,4,0,10
277,4,0,10
278,4,0,10
279,4,0,10
280,4,0,10
281,4,0,10
282,4,0,10
283,4,0,10
284,4,0,10
285,4,0,10
286,4,0,10
287,4,0,10
288,4,0,10
289,4,0,10
290,4,0,10
291,4,0,10
292,4,0,10
293,4,0,10
294,4,0,10
295,4,0,10
296,4,0,10
297,4,0,10
298,4,0,10
299,4,0,10
300,4,0,10
301,4,0,10
302,4,0,10
303,4,0,10
304,4,0,10
305,4,0,11
306,4,0,11
307,4,0,11
308,4,0,11
309,4,0,11
310,4,0,11
311,4,0,11
312,4,0,11
313,4,0,11
314,4,0,11
315,4,0,11
316,4,0,11
317,4,0,11
318,4,0,11
319,4,0,11
320,4,0,11
321,4,0,11
322,4,0,11
323,4,0,11
324,4,0,11
325,4,0,11
326,4,0,11
327,4,0,11
328,4,0,11
329,4,0,11
330,4,0,11
331,4,0,11
332,4,0,11
333,4,0,11
334,4,0,11
335,4,0,12
336,4,0,12
337,4,0,12
338,4,0,12
339,4,0,12
340,4,0,12
341,4,0,12
342,4,0,12
343,4,0,12
344,4,0,12
345,4,0,12
346,4,0,12
347,4,0,12
348,4,0,12
349,4,0,12
350,4,0,12
351,4,0,12
352,4,0,12
353,4,0,12
354,4,0,12
355,1,0,12
356,1,0,12
357,1,0,12
358,1,0,12
359,1,0,12
360,1,0,12
361,1,0,12
362,1,0,12
363,1,0,12
364,1,0,12
365,1,0,12
366,1,1,1
367,1,1,1
368,1,1,1
369,1,1,1
370,1,1,1
371,1,1,1
372,1,1,1
373,1,1,1
374,1,1,1
375,1,1,1
376,1,1,1
377,1,1,1
378,1,1,1
379,1,1,1
380,1,1,1
381,1,1,1
382,1,1,1
383,1,1,1
384,1,1,1
385,1,1,1
386,1,1,1
387,1,1,1
388,1,1,1
389,1,1,1
390,1,1,1
391,1,1,1
392,1,1,1
393,1,1,1
394,1,1,1
395,1,1,1
396,1,1,1
397,1,1,2
398,1,1,2
399,1,1,2
400,1,1,2
401,1,1,2
402,1,1,2
403,1,1,2
404,1,1,2
405,1,1,2
406,1,1,2
407,1,1,2
408,1,1,2
409,1,1,2
410,1,1,2
411,1,1,2
412,1,1,2
413,1,1,2
414,1,1,2
415,1,1,2
416,1,1,2
417,1,1,2
418,1,1,2
419,1,1,2
420,1,1,2
421,1,1,2
422,1,1,2
423,1,1,2
424,1,1,2
425,1,1,2
426,1,1,3
427,1,1,3
428,1,1,3
429,1,1,3
430,1,1,3
431,1,1,3
432,1,1,3
433,1,1,3
434,1,1,3
435,1,1,3
436,1,1,3
437,1,1,3
438,1,1,3
439,1,1,3
440,1,1,3
441,1,1,3
442,1,1,3
443,1,1,3
444,1,1,3
445,1,1,3
446,2,1,3
447,2,1,3
448,2,1,3
449,2,1,3
450,2,1,3
451,2,1,3
452,2,1,3
453,2,1,3
454,2,1,3
455,2,1,3
456,2,1,3
457,2,1,4
458,2,1,4
459,2,1,4
460,2,1,4
461,2,1,4
462,2,1,4
463,2,1,4
464,2,1,4
465,2,1,4
466,2,1,4
467,2,1,4
468,2,1,4
469,2,1,4
470,2,1,4
471,2,1,4
472,2,1,4
473,2,1,4
474,2,1,4
475,2,1,4
476,2,1,4
477,2,1,4
478,2,1,4
479,2,1,4
480,2,1,4
481,2,1,4
482,2,1,4
483,2,1,4
484,2,1,4
485,2,1,4
486,2,1,4
487,2,1,5
488,2,1,5
489,2,1,5
490,2,1,5
491,2,1,5
492,2,1,5
493,2,1,5
494,2,1,5
495,2,1,5
496,2,1,5
497,2,1,5
498,2,1,5
499,2,1,5
500,2,1,5
